"pid","X983","X956","X945","X909","X924","X901","X931","X990","X985","X987","X966","X943","X938","X913","X994","X908","X989","X995","X971","X946","X965","X986","X936","X921","X993","X932","X979","X998","X911","X954","X717","X719","X759","X663","X667","X601","X638","X736","X770","X729","X767","X699","X762","X635","X665","X720","X19","X194","X90","X203","X137","X57","X151","X185","X197","X202","X28","X94","X119","X129","X49","X76","X15","X188","X186","X200","X147","X187","X190","X71","X1637","X1640","X1661","X1537","X1559","X1594","X1603","X1632","X1525","X1586","X1589","X1643","X1652","X1677","X1681","X1686","X1695","X1502","X1503","X1645","X1675","X1679","X1507","X1508","X1542","X1558","X1538","X1696","X1701","X1657","X1558.1","X1335","X1336","X1345","X1210","X1277","X1326","X1331","X1304","X1325","X1260","X1307","X1235","X1306","X1243","X1211","X1310","X1312","X1251","X1247","X1353","X1280","X1259","X1264","X1270","X1215","X1272","X1291","X1409","X1290","X1410","X348","X338","X341","X359","X305","X318","X339","X346","X310","X327","X343","X349","X355","X309","X312","X323","X324","X382","X389","X394","X399","X344","X350","X357"
"P00709",0.287369662,0.213588321,0.274497734,0.195237564,0.232351428,0.210001348,0.243509662,0.293059311,0.229138417,0.214489764,0.224140249,0.279123998,0.255223443,0.195850547,0.253505766,0.245026243,0.204988667,0.286915578,0.223293339,0.250008917,0.279986762,0.176567243,0.283101339,0.219793833,0.232874118,0.243980868,0.209723849,0.225859301,0.182459931,0.205410104,12.97612918,18.26376846,22.89985002,20.13177144,19.70928843,21.50196955,21.27814536,17.55504494,22.33755045,10.04025476,19.28198053,22.49760699,8.769257022,9.841321765,19.3768946,22.77547338,24.57380532,27.05179818,26.51657318,17.53825282,22.83571127,23.8899246,29.0633746,23.2063856,20.85672365,25.03348156,24.65720003,24.987485,26.28608951,16.24431331,27.92921026,26.87586137,32.14789879,25.46383665,20.10335653,32.24875094,25.13807172,22.93143721,25.6636748,21.88493427,28.43263572,28.75163913,20.00624879,26.08849318,28.75223464,28.08075878,32.47516451,20.1251357,23.76002151,28.51463675,23.92802618,18.86335891,24.32936632,23.11055375,28.26443773,12.73192461,23.00419966,27.37451692,20.57708448,20.32411426,30.1292039,28.815587,24.06445013,26.56474306,24.27572304,24.12512678,17.41642351,32.87836012,30.80568062,27.76248897,24.12512678,29.88805637,25.39277997,26.51986287,22.01529266,35.51000223,32.91510902,25.61505981,28.77798262,32.97390058,31.67822902,34.83511372,30.21421766,24.80154108,17.63028268,27.50614669,27.39551692,25.97592909,22.7999594,18.72800488,25.84829769,26.64641255,23.64838021,25.83186251,27.52736866,33.84931824,33.5258748,32.02550177,33.69245986,21.79457608,26.42159643,22.27083797,23.56560634,22.66523379,19.31103262,22.58556656,18.68328152,19.93160995,23.70667116,21.84358766,18.97686494,25.4321451,18.99430911,23.01641433,24.06727707,23.97275863,19.11228417,24.89953959,20.0402815,16.71184275,30.32349869,24.15026704,17.89995779,10.39685123,21.84705436
"P05814",0.185942705,0.175912861,0.221621488,0.317061061,0.199056172,0.238458415,0.20927287,0.186615096,0.273651324,0.234834616,0.260918263,0.250072668,0.255989947,0.273468118,0.228280523,0.260717221,0.416059612,0.197896119,0.246947294,0.259380686,0.234778414,0.237980317,0.233652916,0.247542701,0.212498388,0.284106129,0.401840758,0.277319335,0.275653013,0.453982634,7.511238918,22.02603557,12.13607714,19.54175657,12.03506291,12.97313399,10.86619002,12.08844888,11.69912697,15.28872199,10.16202665,3.818169868,12.0410964,9.987587897,12.63063004,11.53239257,19.16481682,24.38709299,26.47431237,43.96955341,25.22017997,28.70513324,23.1230023,30.24990162,37.56072954,20.24504382,35.41062312,23.3571042,28.50937409,32.10776008,18.09842386,28.3194266,31.88359487,24.03729444,24.57838416,26.18121224,25.72447637,18.98518144,25.12515125,20.74222087,17.76410156,20.45058036,18.0262426,21.94799384,18.49742123,17.8317189,21.06185832,13.33435121,21.69760769,16.88118739,27.21069817,44.4166619,28.87917088,32.21189742,18.27344258,9.407238987,14.61385223,13.12834778,29.67443986,32.47597546,23.14938072,22.59577262,31.13359241,16.33050137,17.48117403,36.47598407,17.1796042,20.68314038,17.05224791,17.83530107,36.47598407,18.80907857,33.20356665,16.14586491,16.57795155,13.10670204,15.81633658,28.34218685,15.14102661,14.71166746,16.64509543,14.86711735,23.12831656,16.27302643,27.72606689,19.40367317,14.4323447,15.4199224,21.16490151,25.69788308,30.17869368,14.84097867,19.7171192,21.87989573,16.54716233,14.36677163,16.77159964,15.03675291,16.11368887,12.89892873,27.3112354,16.10085324,11.37265313,12.54738238,33.52222724,12.7206986,16.75995245,31.80305734,16.44116799,22.85750895,11.24826755,11.6419917,9.649456383,14.66385768,12.19150985,11.76567097,22.92797759,12.84586377,9.17590388,10.57155041,12.89114022,10.35232586,18.588185,21.28851515,11.78533844
"P47710",0.137522112,0.106751098,0.096669366,0.106069728,0.062788325,0.107444049,0.143973363,0.102898831,0.1043175,0.137348183,0.148226379,0.104632916,0.091213915,0.088156572,0.127300289,0.11279447,0.101907507,0.095796088,0.127260953,0.091344805,0.0928444,0.126527133,0.108127149,0.10893309,0.111240177,0.095987337,0.076131578,0.086579295,0.084304089,0.083111582,16.5852255,10.73020842,10.8465185,9.343283238,10.17224118,10.12585504,11.29928642,10.97008139,11.5211309,10.80427713,10.44748983,12.8912834,19.58030263,14.49962563,11.55889986,10.97975701,11.60645587,8.571894667,9.324315324,6.898289317,10.60056424,11.28258487,12.86444216,6.857653549,6.246607908,10.18539996,9.13671826,11.98261714,6.512338255,3.757660224,9.11582628,7.803635209,6.865712178,14.49213423,3.52273332,6.07302762,6.829036531,10.65965814,9.68963902,8.245127811,8.097209906,11.05044178,8.842701525,12.61397125,6.107803248,8.28156527,10.3248462,3.653640246,11.13374259,9.61783788,8.460641456,5.936492882,10.3003306,8.586247657,9.707463764,4.717022879,8.347348932,8.084363859,8.001912001,8.164500142,6.180778144,8.992179588,9.794936959,7.565727547,8.71249389,8.209394283,8.247087981,8.920502113,7.976643321,8.128698558,8.209394283,11.0400912,7.264366288,7.54167739,8.270499373,7.513660481,7.878565022,6.207685028,9.133998935,8.755309033,10.35021617,7.580562726,5.088921266,8.049783853,8.971805659,7.75551216,6.59883214,12.43615512,9.358169045,7.38364548,8.013116334,11.03110577,8.656021932,9.642011774,8.240709009,8.837474491,9.22001102,7.671015188,8.848068501,5.752641325,8.017165225,10.18796557,11.05188553,13.46607285,11.04762129,10.72426628,11.97623547,7.961998383,11.0921912,9.949622243,17.04032014,12.57491141,12.81506324,11.1519392,10.2225457,9.197363881,9.279593553,10.72423479,8.460168388,10.98457621,9.557893455,12.61490957,10.31433261,12.13359038,8.572969285
"P07498",0.084808571,0.082059802,0.088271943,0.08044868,0.094554867,0.093105976,0.095317028,0.088510528,0.079994123,0.088705737,0.063952402,0.072918679,0.063486484,0.073717493,0.077018235,0.06881407,0.060601863,0.073063016,0.076318084,0.075373439,0.059315555,0.090764911,0.069816377,0.076277,0.093752518,0.066528406,0.060448957,0.097870078,0.07700653,0.054241977,7.414717732,10.9144858,8.063242305,7.263978023,8.318730109,9.626107449,11.6681733,10.40368678,8.940953383,14.1870167,9.446716713,10.93865986,12.22057851,19.96344097,8.849447742,9.79245161,8.852414528,9.133624351,9.776180988,7.325630267,9.689537113,8.726134433,7.682209421,10.01910708,6.652383584,8.110846338,7.969322403,9.1866212,9.12755839,10.65673777,7.369615005,10.230202,7.199341718,8.219185152,8.206706876,6.137522377,8.172075012,11.83286932,9.983772362,7.823804277,7.777971858,6.35253698,9.554600969,5.755600918,8.494529006,8.929208478,6.208136627,10.13627796,8.727444848,7.396164543,8.950992152,6.588947225,6.816216889,5.369087577,8.929301818,9.539012032,6.42439944,8.024840881,5.250796519,6.810772692,9.834033072,6.594903589,7.331199446,7.210229506,8.406188197,5.388320888,8.443474724,5.521647698,6.492949035,7.169870474,5.388320888,11.02898075,8.209177993,8.986691164,10.47710965,5.039549074,6.963656512,7.849565812,9.648188954,10.46917179,10.54619483,9.376919916,7.502167493,10.57181258,10.08956093,8.680474115,10.6151406,10.05246138,12.20414057,10.65925517,9.122863414,9.614543008,11.93082316,7.550414206,9.449497466,9.324181158,8.033661005,8.219663404,8.665597572,11.06994331,8.752589425,7.369024737,10.87654459,10.0823084,2.873686635,8.769662304,9.111249946,10.44846786,9.556424217,10.69714068,10.96262719,13.86172572,9.478116826,10.86209939,6.961455573,8.36580438,7.248126643,10.41954711,12.72210469,6.064812745,8.047032373,12.61305872,10.68506775,13.0520197,7.072282575
"P02788",0.058013909,0.089947712,0.081675691,0.059575407,0.093744779,0.074107965,0.057701859,0.071219202,0.061261509,0.071678157,0.05235107,0.048019184,0.054724461,0.066976788,0.046878726,0.073816088,0.031783875,0.063092448,0.076296702,0.056172435,0.067858423,0.077636889,0.062688914,0.069799673,0.057223353,0.062465272,0.05531744,0.052112793,0.070714086,0.044588719,10.22627043,5.942757377,9.50524384,7.449434944,7.762159529,9.250317208,8.303848674,8.812438244,9.300007831,6.572404905,8.46444584,5.795318309,7.466456148,8.157794403,7.48879379,6.047836901,8.31575147,8.103452234,5.745149162,5.034211573,8.969141093,5.614251651,5.077600308,7.067252678,7.233106649,7.359263751,5.286042264,8.306176609,6.945505806,9.800101615,6.081059569,5.54123467,4.164117572,5.413942787,8.518192699,5.659071907,6.060051683,7.592696375,6.933760995,7.466909944,7.114502035,6.910975341,8.341579402,6.991334944,9.453174116,10.34549738,7.422136237,9.217090144,6.637894005,7.151714289,6.973690623,5.874650603,7.34138093,8.582305595,7.806409094,10.95621822,10.01688921,9.151742016,5.593230395,7.426624299,6.745793254,5.987251403,4.807048752,8.316223412,8.168393481,4.87784094,10.07348469,7.403756554,6.05684103,6.748983399,4.87784094,3.755890136,4.966053892,8.71531243,8.307452177,8.309305928,7.154308998,6.645541133,6.063666311,5.326195487,7.207077606,8.077468726,7.126299626,9.286154851,7.308025183,8.064637826,9.524344203,6.819073341,6.970605557,8.461799862,4.593012128,7.208209573,8.406933769,6.400597801,7.28809665,7.164940942,5.946061598,6.415082811,7.005643586,9.578665972,5.959099028,6.130378348,8.20209966,7.069556932,6.19036939,9.828442432,6.637060369,6.556939845,8.570081431,4.173885599,7.769111942,7.755267019,7.558980197,7.772877028,6.391520683,8.043257939,7.364607683,7.971825179,7.60265981,7.762093492,5.343078582,6.39974505,8.151332814,6.71334451,7.35868066
"P02768",0.034378513,0.036107382,0.046970524,0.04377035,0.055334212,0.037194451,0.040857346,0.037910241,0.046139795,0.049851153,0.041263834,0.04524118,0.045568632,0.062970302,0.039347317,0.049745174,0.028887026,0.040802463,0.054871831,0.044512767,0.054929366,0.04043105,0.0486802,0.039328774,0.042057682,0.041503739,0.032007066,0.053707592,0.033792831,0.029400666,11.31735786,4.833934073,6.506351661,5.324718472,6.574705505,7.223009005,7.322746259,6.417367819,6.542408423,8.342383492,6.823528152,8.322210463,10.12039841,7.881607066,7.225043251,6.369242227,5.794872934,4.294172661,4.137380477,5.523513205,6.089663433,4.017481111,4.702451057,6.35067446,4.208963897,5.299902142,3.841851313,5.086320614,4.733339969,3.933042786,6.569225796,5.47037872,4.795909171,5.372320773,5.581263605,5.376850167,6.210411849,4.613074208,4.826382108,4.482896876,8.038891211,5.821034492,5.315337329,5.198172364,5.593282915,6.199977993,5.69922871,7.680908453,7.054291618,8.059798445,3.653991304,5.699735753,7.014720002,6.337958659,5.629957139,4.844920247,5.575002762,3.763735454,6.040895839,5.368392274,7.606450252,7.544695375,6.780679339,6.225773391,5.024138353,7.434482894,6.924750579,11.2151354,7.435467665,8.796370824,6.990464325,2.257413483,6.71730229,7.944846371,7.323913715,6.518411807,5.761652169,5.484187522,6.558606596,6.142006654,6.777345786,7.127596399,6.412700099,6.606714243,3.592726809,7.901622338,8.319218338,6.247896789,3.502175101,3.494866061,5.619098794,5.803553826,8.088284196,4.938728532,6.691863783,5.178249545,5.175875636,6.411213642,7.565014419,5.607394834,6.612809428,5.18602456,6.25208493,6.24856596,4.76397792,6.172121722,4.514502001,4.746385639,4.43957212,6.396921576,6.505261656,4.259628098,7.316666652,4.17745335,8.807750904,6.8164105,6.675866567,7.404103335,5.744620466,5.401841148,5.317439245,6.376693516,5.226140287,7.661587179,5.70031962
"P01876",0.033080957,0.031403147,0.011838484,0.021419102,0.030471381,0.036251122,0.033277463,0.032164845,0.013718101,0.024161079,0.020356566,0.020933384,0.021338791,0.01222117,0.017446139,0.018640819,0.016901969,0.029978852,0.017583041,0.020397716,0.024781458,0.033615651,0.019744498,0.020957002,0.019760231,0.015314113,0.012917517,0.018822128,0.029189192,0.015969699,3.46262293,2.971604334,3.672632468,3.320988195,4.68533115,2.772477098,3.705874778,4.43703609,3.326995454,3.265200703,2.512670698,3.545915838,1.602655667,1.826566419,3.231756145,3.584146877,3.860632018,3.037753883,2.877915234,2.222172938,2.009578401,3.326114011,1.89438152,2.389026994,2.742985132,2.87994125,2.030484374,2.492632137,3.291656437,4.409857593,2.84814483,2.321630126,1.547446849,2.874651142,4.708751836,2.610116555,3.609932781,3.2970822,2.627410962,3.766936438,3.212223988,1.977429755,3.569519661,2.900395144,3.034483524,2.989321241,1.667562103,4.047577881,2.282001279,3.432187464,2.818470535,2.093416044,2.634835725,2.674163027,2.636764378,5.82901944,4.455984317,3.619804184,2.106874017,2.062850069,2.482150067,2.626045936,2.707190627,4.002771216,3.139687729,2.457161997,4.473767015,3.286643432,3.216306196,3.646293473,2.457161997,2.020436684,1.452229653,2.910770864,2.493159473,2.281426836,3.386129645,2.266470576,2.984819381,2.703107539,1.533570369,1.916125106,2.563076273,2.445271329,3.065100866,2.544893148,2.582212574,2.996924632,3.28517107,2.883998232,2.2239265,2.786725374,2.440897383,2.51761298,3.373589842,2.601322189,3.256361312,2.972760208,2.54883543,4.607074648,2.833626292,3.641031455,3.945982121,2.294887751,1.666544327,4.104581202,3.103720126,3.189667441,2.657827836,1.516399712,2.453525811,2.283537531,2.817917812,2.810506138,3.109265865,3.700413165,3.19139262,1.555430579,3.353058396,4.346228756,2.737431061,3.149815363,3.274600187,2.505167247,4.474908739
"P19835",0.034910431,0.056100382,0.033115982,0.027346058,0.042278082,0.025624763,0.037792823,0.060742952,0.042919183,0.030704114,0.036352203,0.027455154,0.0373165,0.029470805,0.062924398,0.047932202,0.017658629,0.025630147,0.033414352,0.036496282,0.029269651,0.027717817,0.032819086,0.033554625,0.019830511,0.023037443,0.031199313,0.033491417,0.018367968,0.017311799,2.517163083,3.768886048,3.559175494,3.794491702,4.594293583,4.514647777,3.387529057,3.516929488,2.642571837,2.444122925,4.068345909,3.897531366,2.028482977,1.154412776,3.32887611,3.311586393,1.961637546,3.283009076,3.501982119,1.973729377,3.100441234,2.64887633,5.971940237,3.020153259,2.36836397,7.825574115,2.840970864,3.034650969,2.252424939,1.856379472,2.270176358,2.756196652,3.053731611,3.478635396,3.813526643,3.088887212,2.778011464,3.066322817,2.66574562,2.703130712,3.779884527,3.090698994,5.634754865,2.453290023,2.486703268,2.126629484,4.527525603,4.770322127,3.289363198,3.384930024,2.997498746,2.559245757,3.298709376,2.962765719,3.662125405,1.148234149,2.589637773,2.369586234,2.588092806,2.757781471,2.717756114,2.756541733,4.725831033,3.457902102,4.621409802,2.210653917,2.531810187,2.989582472,6.856050474,6.286683741,2.210653917,4.72194441,3.789866296,3.715666151,8.053731587,4.029079356,3.254385798,5.010029165,4.932374233,4.444453176,4.15631829,3.607899414,3.40284847,3.316385629,2.337599392,3.808806566,3.619538565,3.713569829,2.556572249,2.723641831,3.130062969,4.963365037,4.099541305,4.637569407,5.393300339,3.247785263,3.136973073,3.770621624,3.472749521,2.155089808,3.186477696,3.158178059,3.517631228,5.265968108,2.218593587,3.340516662,3.864197115,2.052915436,4.013698171,3.884167983,4.628087249,4.434178632,6.323197821,3.450817113,1.467231398,5.491273331,2.867688053,2.922880433,3.115885139,3.056831642,2.155298531,2.497305535,2.825966802,1.239479097,4.807104348
"P61769",0.008427128,0.008443568,0.012247973,0.017223273,0.015440662,0.011315299,0.009377736,0.014010606,0.007153691,0.006227649,0.008502224,0.004651299,0.013871491,0.009096019,0.011431117,0.015761546,0.027275671,0.010236067,0.008303207,0.0054261,0.006616005,0.008202221,0.008916989,0.014394693,0.012718497,0.006120247,0.008628706,0.00882938,0.01134158,0.006954112,4.077174318,2.157775264,2.031882321,2.673463448,1.452963019,1.937902184,1.915954902,2.275597748,2.483715125,4.666092259,2.005345799,2.980189602,3.999244505,2.659738537,1.700249012,2.490460755,1.916792566,0.998675131,1.036922565,0.930574347,1.125724102,0.745935892,0.864095812,1.126774462,0.852822865,0.953931745,0.898098858,0.769454032,0.668514199,1.110282405,1.193735927,1.086191772,0.914664883,1.03467909,0.975974268,1.073723359,0.770058849,0.823951075,0.978425912,1.080455969,1.650949224,1.242994326,1.235399921,0.749390397,1.40719927,1.584572789,0.904650191,2.324197026,1.270368616,1.0965403,1.093205917,0.797289693,1.565223328,0.834359188,1.310325559,2.789066948,1.533284361,1.838352058,1.639111068,1.33306423,1.389469112,1.064502419,1.117763862,1.847184534,1.545991895,0.767346104,1.798979578,1.183636143,1.442130759,1.661954593,0.767346104,1.193772358,1.246115247,1.556489607,1.52410519,1.275523431,1.499228589,2.147724001,1.814065347,1.688843626,1.192365548,1.660854995,1.589051701,1.232588528,0.782969842,1.829114278,1.133183856,1.31081637,0.715516281,0.621024981,0.952121995,2.055746244,1.437380322,1.192864238,1.852719953,0.662111467,0.938647664,1.17262916,1.512870017,1.244878465,1.264801445,2.915373748,1.487370536,1.752813098,4.265164878,2.083400437,1.989227986,1.598123692,1.649264726,1.805719711,2.295417121,1.743687109,2.058412644,2.230356507,2.579284728,1.829005097,0.663397097,1.223340298,2.180463818,1.469611526,1.959748763,2.005988182,1.88256612,2.764721423,2.332238887
"P61626",0.002210976,0.04979837,0.007510358,0.011161743,0.008466069,0.018272988,0.005646421,0.004256942,0.01798402,0.010326034,0.024496785,0.021080917,0.010794369,0.006557498,0.015009317,0.013958432,0.008793069,0.014795934,0.020379286,0.016310187,0.011278626,0.025647128,0.028540495,0.015763222,0.0394101,0.023650528,0.023328427,0.028763753,0.046824786,0.01964528,2.453678014,0.96277032,1.84984196,1.761260682,1.274905262,1.65775145,3.194741558,1.079459167,1.640989836,2.807260117,2.262725217,3.069195727,8.211665906,7.323364983,4.83748372,2.102363432,0.586326736,0.430420355,0.553848912,0.532073279,0.810287541,1.377910709,0.404207025,0.824557599,1.026528456,0.871304081,1.445632892,1.092218786,2.92330187,1.300882905,1.548707355,1.817305418,1.311987336,0.460522008,4.95126266,1.431875097,3.207826738,3.826624605,2.704458759,1.80926605,2.727610784,2.277764736,4.59922999,0.993561771,2.235217119,1.625481104,1.646143874,2.991439837,3.1229821,2.159810655,1.966758152,0.854521246,1.256593436,1.464607199,3.257124842,3.95060759,2.616776173,2.776259329,1.593870119,1.359997204,1.498651237,2.92998697,1.636437021,2.650245495,2.056453051,2.238546485,2.818996917,1.602611354,2.299977223,1.333654224,2.238546485,1.367002907,0.562285249,1.582145815,0.624799324,0.334613882,0.441889267,0.434671697,0.349219796,0.270387095,1.094114418,1.113967618,0.494219383,3.797829107,0.177647597,1.922576491,0.89573634,0.338863247,0.114537116,0.079723575,0.458802575,1.746573142,1.179336649,1.38378577,0.412130666,1.612617459,1.757266836,2.014637798,1.580942303,4.13092224,1.194944157,2.231388838,0.663484357,3.078759915,1.830013434,0.693862625,3.600260856,0.574113392,0.467544077,1.96368178,2.441320483,1.245623027,0.237620911,2.682976621,2.414718458,1.582588842,1.147901861,3.072524507,2.76379449,0.575187546,6.126207579,1.432425649,1.792718436,3.33611439,0.46953911
"P01591",0.006413902,0.005784071,0.002938905,0.006431377,0.007703672,0.005263565,0.006323873,0.004942584,0.00321771,0.005336616,0.004650384,0.005511539,0.005399962,0.002980344,0.004103313,0.003072609,0.006196192,0.006126355,0.003622289,0.005449943,0.005458255,0.007188756,0.004885931,0.004473086,0.004016287,0.003791729,0.003239385,0.003305687,0.005436001,0.003881878,1.113575872,1.389451424,1.752615858,0.932422377,1.84506251,1.285451963,1.471748983,1.851143358,1.258489669,1.569338984,1.044022109,0.817010092,0.025127018,1.600461611,1.436287342,1.658532891,0.668633206,0.440411118,0.418242772,0.358605899,0.288627087,0.511143921,0.261815277,0.243802303,0.751616349,0.677226129,0.275208959,0.543499226,0.518411219,1.325758382,0.970840584,0.35665991,0.219446532,0.401199012,0.908053664,0.369701331,0.682474053,0.72899322,0.377615306,1.533994103,1.287290508,0.493792266,1.170980863,0.872917309,0.86847552,1.158092847,0.507738013,2.062867554,0.694885761,1.104262104,0.790585901,0.591051181,0.864883321,0.910484773,0.87708806,2.833831027,1.70439726,1.555500209,0.737569791,0.87833855,0.708967396,0.914888182,0.71059503,1.489863426,1.462908741,0.808919817,1.920161751,1.033587833,1.23655354,1.171004189,0.808919817,0.807869136,0.43652489,1.223621755,1.477287308,1.03305913,2.31199652,1.104989589,1.387535657,1.11951084,0.594144447,0.666558367,1.301478848,1.609269049,1.230775451,1.336485498,1.021343198,1.236729422,1.658445519,1.570876978,0.735906919,1.31669267,0.816451017,1.100794587,1.150978807,1.220158146,1.199192725,1.305032136,1.094692708,2.454145531,1.144914482,1.582774145,1.225728693,0.758764443,0.002689498,1.870424418,0.793358339,0.183401197,0.76432674,0.393658103,0.860411948,0.952011177,1.174928444,1.154189125,0.732492674,1.363583711,1.242533312,0.473365085,1.104846404,1.49333893,1.038565881,1.321963374,1.709374877,0.94606229,1.686493805
"P01833",0.009589824,0.013556157,0.010624504,0.011770154,0.014845183,0.011399838,0.012426271,0.008969048,0.009565892,0.010534657,0.009881938,0.009533105,0.010501653,0.010023155,0.009825064,0.010004555,0.006913155,0.010641163,0.011095175,0.009329559,0.011063397,0.014775077,0.010406941,0.011516687,0.011294227,0.00893263,0.007543636,0.012261503,0.011445233,0.007802017,1.065414786,1.374784449,1.624360149,1.601525758,1.584467474,1.593973969,1.668493949,1.577889459,1.376369005,1.549716336,1.510427315,1.608696151,1.115900161,1.241250433,1.476629481,1.422183344,1.279247734,1.144022687,0.971116435,0.714876068,0.85310055,0.842259553,0.958443201,0.825408535,0.867541821,1.073822039,0.631166643,0.900624693,1.053315235,1.669207189,1.23784039,0.924021464,0.941280969,0.989627329,1.499920661,0.812771166,0.898563091,1.217003851,0.854013997,1.468949567,1.479969415,1.439674297,1.358653011,1.199889371,1.8716913,1.404231715,1.311911513,2.086853978,1.151810962,1.479144659,1.15500182,1.113270807,1.481900534,1.354010477,1.121382106,2.893484168,1.874452819,1.893267891,1.412647556,1.721249621,1.454567641,1.28587785,0.873350539,1.684209952,1.598915719,0.877396248,2.059211266,1.126392279,1.759033334,2.066995016,0.877396248,1.642820012,1.336091184,1.816092999,1.706823607,1.92407825,1.554041179,1.699009064,1.739176477,1.658966407,1.632307707,1.518567997,1.422286594,1.741655498,1.678121078,1.516527048,1.90984645,1.826781238,1.524349487,1.644653008,1.159084562,1.418274396,1.615115973,1.110282681,1.880559267,1.387292501,1.334398964,1.624006459,1.798977347,2.216749545,1.740904497,1.55708166,1.548244298,1.574415209,0.671683282,1.869378709,1.200262909,1.14696964,1.578260775,1.648751683,1.253887273,1.634163261,1.706381664,1.524275395,1.404385224,1.78944082,1.261771471,1.533099672,1.843518532,1.756764542,1.180512163,1.514738132,1.272751435,1.293499116,1.761896156
"P10451",0.005899446,0.006585039,0.005389997,0.005416417,0.004599207,0.008126798,0.005168237,0.00649941,0.00521623,0.005303497,0.004868673,0.002953159,0.004363793,0.009243139,0.006372198,0.003925028,0.002982733,0.010747186,0.005643807,0.003184006,0.004760596,0.008286482,0.00398525,0.010332632,0.003599603,0.006698629,0.004581492,0.003721282,0.012806851,0.003334178,0.795752502,1.10264061,1.01277455,1.178123794,1.280888223,1.015559768,1.593953688,1.361563456,0.79401561,1.218456096,1.58655083,1.217482543,0.873862541,0.737700987,1.722011679,1.454793538,0.794813145,0.482475644,0.303358365,0.337246362,0.462743856,0.338102386,0.21053266,0.449294543,0.41921631,0.545773026,0.302167498,0.368321918,0.300275453,0.30790405,0.942533723,0.28443175,0.193288491,0.443303515,0.469073926,0.470308579,0.577920037,0.751061583,0.452332744,0.569619283,1.441267009,2.197438116,1.751096665,1.690277727,1.056487024,0.828457957,0.980063955,2.912932444,2.320482469,1.7086808,1.664263653,0.546736979,1.138300135,1.063524355,1.445080433,2.746789762,1.246392702,1.243525819,0.977057866,1.336569899,1.059486914,1.642346699,0.688030107,1.437070448,1.801331221,0.828504713,1.206276687,1.029901675,0.801333974,0.964490621,0.828504713,1.438850531,0.596428479,1.911777397,1.345939887,1.036622237,0.986440429,0.985797196,1.207180454,1.079813351,1.153469022,1.543607149,0.873868551,1.180016015,0.838140576,1.108626071,2.922634382,1.041644041,0.822850213,1.389947307,1.041156621,1.747205703,1.674722187,2.165674982,1.207836299,1.475232899,1.532048643,1.132621949,0.698394195,0.784211013,0.583773,1.006088076,1.259012837,0.941749656,0.1799045,0.785100715,0.672730954,0.487878693,0.944204664,1.301253206,0.743174545,1.129272534,1.676823086,0.994683227,0.884770466,1.063587133,0.979718269,1.032775513,1.430112585,2.078351679,0.954952414,1.094123364,0.899051623,0.475723246,0.891023533
"P02647",0.001817411,0.001448275,0.002489288,0.001019854,0.002112826,0.003237987,0.002507846,0.00213302,0.002339178,0.00187957,0.002634376,0.001474278,0.001943753,0.003175441,0.001991912,0.002325731,0.000975892,0.001318527,0.002387312,0.001197054,0.002703524,0.001835502,0.002412876,0.000728673,0.001079403,0.001379731,0.000417051,0.001671422,0.001054168,0.001118566,1.024567418,0.562249082,0.505703032,0.653192867,0.459601778,0.43566734,0.315453114,0.702566136,1.025755016,0.375777644,0.271834295,0.470023986,0.521455383,0.335121272,0.696064308,0.366602461,0.344979915,0.237591595,0.33499825,0.131927436,0.154953603,0.10860164,0.141515992,0.206997054,0.275350389,0.293627829,0.05830058,0.185742643,0.049881444,0.156067486,0.166881659,0.174619998,0.207475484,0.429962381,0.13206296,0.665942676,0.164988062,0.109771673,0.135571681,0.041480822,0.081790076,0.341801795,0.232375301,0.2665522,0.318049498,0.239856212,0.174189596,0.31221571,0.295620062,0.261548534,0.126395005,0.196716997,0.064766189,0.323415474,0.349560882,0.101342516,0.149261201,0.227556011,0.287657394,0.233251689,0.238896795,0.187195953,0.299441329,0.416115015,0.109733561,0.07938953,0.149558131,0.19194041,0.393153878,0.348884114,0.07938953,0.321925504,0.437683379,0.278233386,0.1771557,0.254008079,0.195981074,0.152259286,0.170460099,0.102109993,0.125811564,0.185809889,0.178024983,0.21018689,0.054486172,0.215252896,0.152843714,0.096343774,0.048953098,0.065512194,0.126964374,0.123445984,0.343941602,0.061261459,0.114313483,0.138892874,0.160725947,0.139870473,0.242761627,0.101304426,0.125667012,0.594250636,0.321236139,0.489425477,0.411953949,0.163132311,0.564278694,0.37476252,0.527728022,0.46237341,0.376173826,0.40840858,0.406488903,0.572472793,0.303518945,0.321499674,0.266553709,0.549922685,0.654388966,0.46439232,0.300445214,0.51953445,0.453110643,0.311567355,0.474151575
